Voltaje,Timestamp,X (mT),Y (mT),Z (mT),Tiempo,Ciclos,CPU %
0 V,13:30:55.097,-0.10,-0.74,2.49,10.21 ms,24253262,16.5%
0 V,13:30:55.588,0.00,-0.15,2.49,0.20 ms,470012,10.6%
0 V,13:30:56.088,0.20,-0.25,0.24,0.28 ms,656450,12.4%
0 V,13:30:56.589,-0.20,-0.05,0.24,0.20 ms,484737,26.7%
0 V,13:30:57.089,-0.10,-0.05,0.34,0.36 ms,864025,15.5%
0 V,13:30:57.589,0.20,-0.35,0.34,0.24 ms,569762,34.8%
0 V,13:30:58.090,0.10,-0.15,0.34,0.24 ms,571425,22.9%
0 V,13:30:58.590,0.00,0.05,0.43,0.24 ms,567150,4.6%
0 V,13:30:59.091,0.10,-0.35,0.24,0.25 ms,583300,32.0%
0 V,13:30:59.591,-0.20,-0.35,0.14,0.26 ms,616075,16.8%
0.5 V,13:32:03.599,0.00,-0.05,0.34,10.38 ms,24650125,22.5%
0.5 V,13:32:04.090,-0.29,-0.44,1.02,1.04 ms,2465962,8.3%
0.5 V,13:32:04.590,-0.10,-0.44,1.02,0.26 ms,618925,18.8%
0.5 V,13:32:05.090,0.29,-0.44,1.12,0.28 ms,674737,11.5%
0.5 V,13:32:05.590,-0.10,-0.54,1.12,0.29 ms,688750,4.7%
0.5 V,13:32:06.090,0.00,-0.64,1.02,0.26 ms,606812,9.9%
0.5 V,13:32:06.591,-0.10,-0.44,1.22,0.26 ms,612750,5.2%
0.5 V,13:32:07.091,0.00,-0.44,1.12,0.20 ms,468350,17.0%
0.5 V,13:32:07.592,0.00,-0.35,1.12,0.16 ms,382612,14.1%
0.5 V,13:32:08.092,0.00,-0.44,1.12,0.21 ms,508012,11.8%
1 V,13:32:59.305,0.00,-0.54,1.02,10.77 ms,25581600,18.2%
1 V,13:32:59.794,-0.10,-0.74,1.02,0.17 ms,402325,14.9%
1 V,13:33:00.295,-0.20,-0.84,2.10,0.25 ms,589950,18.7%
1 V,13:33:00.795,-0.10,-0.93,2.10,0.25 ms,598737,31.2%
1 V,13:33:01.296,-0.20,-0.93,2.30,0.39 ms,930762,19.2%
1 V,13:33:01.796,0.00,-0.93,2.30,0.19 ms,442700,4.2%
1 V,13:33:02.296,-0.10,-0.93,2.30,0.36 ms,859037,8.3%
1 V,13:33:02.797,-0.10,-0.93,2.30,0.29 ms,696587,17.2%
1 V,13:33:03.297,-0.10,-0.93,2.20,0.24 ms,578787,12.2%
1 V,13:33:03.797,0.00,-0.84,2.20,0.24 ms,574512,12.3%
1.5 V,13:34:03.254,-0.10,-0.93,2.20,10.56 ms,25086412,14.1%
1.5 V,13:34:03.744,-0.20,-1.03,2.69,0.27 ms,639587,22.4%
1.5 V,13:34:04.245,-0.39,-0.93,2.69,0.57 ms,1351612,14.7%
1.5 V,13:34:04.745,-0.10,-0.93,2.69,0.32 ms,767600,15.1%
1.5 V,13:34:05.245,0.00,-1.03,2.69,0.31 ms,733400,17.8%
1.5 V,13:34:05.745,-0.20,-0.93,2.69,0.21 ms,500887,22.4%
1.5 V,13:34:06.246,-0.10,-0.93,2.79,0.37 ms,872337,32.8%
1.5 V,13:34:06.747,-0.10,-0.93,2.88,0.36 ms,848587,16.7%
1.5 V,13:34:07.247,-0.29,-1.03,2.69,0.32 ms,750975,26.6%
1.5 V,13:34:07.748,-0.20,-0.84,2.79,0.20 ms,483787,6.8%
2 V,13:35:16.355,0.00,-1.03,2.88,10.35 ms,24592175,30.8%
2 V,13:35:16.845,0.00,-1.03,2.98,0.66 ms,1562275,19.0%
2 V,13:35:17.345,-0.29,-1.13,2.98,0.39 ms,929337,17.6%
2 V,13:35:17.846,0.00,-1.13,2.88,0.33 ms,788025,16.8%
2 V,13:35:18.346,-0.10,-1.03,3.18,0.34 ms,798237,11.4%
2 V,13:35:18.847,-0.29,-1.03,3.08,0.39 ms,936937,9.3%
2 V,13:35:19.348,-0.10,-0.93,2.98,0.51 ms,1206025,7.3%
2 V,13:35:19.848,0.00,-1.03,2.98,0.40 ms,961400,18.8%
2 V,13:35:20.348,-0.39,-1.03,3.18,0.22 ms,522500,10.9%
2 V,13:35:20.848,-0.20,-1.13,2.98,0.20 ms,474762,18.2%
2.5 V,13:37:09.545,-0.20,-0.84,2.98,10.51 ms,24949375,13.7%
2.5 V,13:37:10.035,-0.29,-0.93,2.59,0.40 ms,944537,11.4%
2.5 V,13:37:10.536,0.00,-0.93,2.98,0.38 ms,913425,14.5%
2.5 V,13:37:11.036,-0.20,-1.13,2.88,0.44 ms,1041437,24.7%
2.5 V,13:37:11.537,-0.10,-1.03,2.88,0.42 ms,1006287,10.4%
2.5 V,13:37:12.037,-0.20,-1.13,2.88,0.26 ms,612275,17.4%
2.5 V,13:37:12.538,-0.20,-1.03,2.88,0.34 ms,817475,6.7%
